TUM Study Programs
Source: portfolio page
Found: 352 programs
Date: scan output — use Ctrl+F to find programs of interest
========================================================================================================================

    ID  Title
------------------------------------------------------------------------------------------------------------------------
  4941  &nbsp;
  2519  70 750 Forstwissenschaft (0, Studienkolleg, laufend)
  4158  70 753 Forstwissenschaft und Ressourcenmanagement (0, Studienkolleg, laufend)
  3388  70 760 Ökotrophologie (0, Studienkolleg, laufend)
  2521  70 761 Ernährungswissenschaft (0, Studienkolleg, laufend)
  4159  70 799 Bioprozesstechnik (0, Studienkolleg, laufend)
  2789  70 800 Brauwesen und Getränketechnologie (0, Studienkolleg, laufend)
  4367  70 804 Nachwachsende Rohstoffe (0, Studienkolleg, laufend)
  2696  70 830 Technologie und Biotechnologie der Lebensmittel (0, Studienkolleg, laufend)
  3161  70 831 Molekulare Biotechnologie (0, Studienkolleg, laufend)
  5393  70 832 Lebensmitteltechnologie (20241, Studienkolleg, laufend)
  5098  90 985 Integrationsprogramm Ukraine (20221, Gaststudium, laufend)
  5314  91 051 Physik (20241, sonstiges Studium, laufend)
  5312  91 100 Chemie (20241, sonstiges Studium, laufend)
  5285  91 806 Fakultät TUMCS (20241, Austauschprogramm, laufend)
   416  92 040 Informatik (20081, Aufbaustudium, laufend)
  4668  93 131 Modulstudium auf dem Gebiet der Geologie und Geodäsie (20171, Modulstudium, laufend)
  4674  93 419 Luft- und Raumfahrt (20171, Modulstudium, laufend)
  5255  94 081 studium MINT (20241, Modulstudium, laufend)
  5397  95 463 Kooperation PLUS (Ingenieur- und Werkstoffwissenschaften) (20241, Zweithörerstudium, laufend)
  4459  97 805 Modulstudien Brauwesen und Getränketechnologie (20151, Masterstudium, laufend)
  5282  98 010 Mathematik (20241, sonstiges Studium, laufend)
  5280  98 030 Informatik (20241, sonstiges Studium, laufend)
  5313  98 051 Physik (20241, sonstiges Studium, laufend)
  5331  98 083 Science and Technology Studies (20241, sonstiges Studium, laufend)
  5311  98 100 Chemie (20241, sonstiges Studium, laufend)
  5323  98 170 Research on Teaching and Learning (20241, sonstiges Studium, laufend)
  5302  98 246 Austauschprogramm TUM School of Management (Straubing) (20241, Austauschprogramm, laufend)
  5304  98 256 Austauschprogramm TUM School of Management (Munich) (20241, Austauschprogramm, laufend)
  5315  98 262 Politikwissenschaft - Austausch (20241, sonstiges Studium, laufend)
  5310  98 291 Sport- und Gesundheitswissenschaften (20241, sonstiges Studium, laufend)
  5292  98 310 Exchange Program Civil / Environmental / Geo Engineering (ISCED 0732) (20241, sonstiges Studium, laufend)
  5294  98 332 Exchange Program Geodesy (ISCED 0532) (20241, sonstiges Studium, laufend)
